2019-04-17 22:38:10.870 charges_calc.py:81 WARNING the date format of RNT776 was wrong. remove this data.
2019-04-17 22:38:10.873 charges_calc.py:94 WARNING unit_rented of RNT843 was zero, cause zero division. remove this data.
2019-04-17 22:52:27.107 charges_calc.py:98 WARNING the end date and start date of RNT001 was reversed, and it is fixed.
2019-04-17 22:52:27.108 charges_calc.py:98 WARNING the end date and start date of RNT006 was reversed, and it is fixed.
2019-04-17 22:52:27.108 charges_calc.py:98 WARNING the end date and start date of RNT007 was reversed, and it is fixed.
2019-04-17 22:52:27.108 charges_calc.py:98 WARNING the end date and start date of RNT008 was reversed, and it is fixed.
2019-04-17 22:52:27.110 charges_calc.py:98 WARNING the end date and start date of RNT009 was reversed, and it is fixed.
2019-04-17 22:52:27.111 charges_calc.py:98 WARNING the end date and start date of RNT010 was reversed, and it is fixed.
2019-04-17 22:52:27.111 charges_calc.py:98 WARNING the end date and start date of RNT011 was reversed, and it is fixed.
2019-04-17 22:52:27.112 charges_calc.py:98 WARNING the end date and start date of RNT012 was reversed, and it is fixed.
2019-04-17 22:52:27.112 charges_calc.py:98 WARNING the end date and start date of RNT014 was reversed, and it is fixed.
2019-04-17 22:52:27.112 charges_calc.py:98 WARNING the end date and start date of RNT016 was reversed, and it is fixed.
2019-04-17 22:52:27.112 charges_calc.py:98 WARNING the end date and start date of RNT017 was reversed, and it is fixed.
2019-04-17 22:52:27.113 charges_calc.py:98 WARNING the end date and start date of RNT018 was reversed, and it is fixed.
2019-04-17 22:52:27.113 charges_calc.py:98 WARNING the end date and start date of RNT019 was reversed, and it is fixed.
2019-04-17 22:52:27.113 charges_calc.py:98 WARNING the end date and start date of RNT020 was reversed, and it is fixed.
2019-04-17 22:52:27.114 charges_calc.py:98 WARNING the end date and start date of RNT021 was reversed, and it is fixed.
2019-04-17 22:52:27.114 charges_calc.py:98 WARNING the end date and start date of RNT025 was reversed, and it is fixed.
2019-04-17 22:52:27.114 charges_calc.py:98 WARNING the end date and start date of RNT026 was reversed, and it is fixed.
2019-04-17 22:52:27.115 charges_calc.py:98 WARNING the end date and start date of RNT028 was reversed, and it is fixed.
2019-04-17 22:52:27.115 charges_calc.py:98 WARNING the end date and start date of RNT030 was reversed, and it is fixed.
2019-04-17 22:52:27.115 charges_calc.py:98 WARNING the end date and start date of RNT031 was reversed, and it is fixed.
2019-04-17 22:52:27.116 charges_calc.py:98 WARNING the end date and start date of RNT034 was reversed, and it is fixed.
2019-04-17 22:52:27.116 charges_calc.py:98 WARNING the end date and start date of RNT040 was reversed, and it is fixed.
2019-04-17 22:52:27.116 charges_calc.py:98 WARNING the end date and start date of RNT041 was reversed, and it is fixed.
2019-04-17 22:52:27.117 charges_calc.py:98 WARNING the end date and start date of RNT044 was reversed, and it is fixed.
2019-04-17 22:52:27.117 charges_calc.py:98 WARNING the end date and start date of RNT045 was reversed, and it is fixed.
2019-04-17 22:52:27.117 charges_calc.py:98 WARNING the end date and start date of RNT046 was reversed, and it is fixed.
2019-04-17 22:52:27.117 charges_calc.py:98 WARNING the end date and start date of RNT047 was reversed, and it is fixed.
2019-04-17 22:52:27.118 charges_calc.py:98 WARNING the end date and start date of RNT048 was reversed, and it is fixed.
2019-04-17 22:52:27.118 charges_calc.py:98 WARNING the end date and start date of RNT050 was reversed, and it is fixed.
2019-04-17 22:52:27.118 charges_calc.py:98 WARNING the end date and start date of RNT056 was reversed, and it is fixed.
2019-04-17 22:52:27.119 charges_calc.py:98 WARNING the end date and start date of RNT058 was reversed, and it is fixed.
2019-04-17 22:52:27.119 charges_calc.py:98 WARNING the end date and start date of RNT060 was reversed, and it is fixed.
2019-04-17 22:52:27.119 charges_calc.py:98 WARNING the end date and start date of RNT061 was reversed, and it is fixed.
2019-04-17 22:52:27.120 charges_calc.py:98 WARNING the end date and start date of RNT062 was reversed, and it is fixed.
2019-04-17 22:52:27.120 charges_calc.py:98 WARNING the end date and start date of RNT065 was reversed, and it is fixed.
2019-04-17 22:52:27.120 charges_calc.py:98 WARNING the end date and start date of RNT067 was reversed, and it is fixed.
2019-04-17 22:52:27.121 charges_calc.py:98 WARNING the end date and start date of RNT071 was reversed, and it is fixed.
2019-04-17 22:52:27.121 charges_calc.py:98 WARNING the end date and start date of RNT074 was reversed, and it is fixed.
2019-04-17 22:52:27.122 charges_calc.py:98 WARNING the end date and start date of RNT076 was reversed, and it is fixed.
2019-04-17 22:52:27.122 charges_calc.py:98 WARNING the end date and start date of RNT077 was reversed, and it is fixed.
2019-04-17 22:52:27.122 charges_calc.py:98 WARNING the end date and start date of RNT079 was reversed, and it is fixed.
2019-04-17 22:52:27.123 charges_calc.py:98 WARNING the end date and start date of RNT084 was reversed, and it is fixed.
2019-04-17 22:52:27.123 charges_calc.py:98 WARNING the end date and start date of RNT086 was reversed, and it is fixed.
2019-04-17 22:52:27.124 charges_calc.py:98 WARNING the end date and start date of RNT087 was reversed, and it is fixed.
2019-04-17 22:52:27.125 charges_calc.py:98 WARNING the end date and start date of RNT089 was reversed, and it is fixed.
2019-04-17 22:52:27.125 charges_calc.py:98 WARNING the end date and start date of RNT092 was reversed, and it is fixed.
2019-04-17 22:52:27.126 charges_calc.py:98 WARNING the end date and start date of RNT095 was reversed, and it is fixed.
2019-04-17 22:52:27.127 charges_calc.py:98 WARNING the end date and start date of RNT097 was reversed, and it is fixed.
2019-04-17 22:52:27.127 charges_calc.py:98 WARNING the end date and start date of RNT099 was reversed, and it is fixed.
2019-04-17 22:52:27.128 charges_calc.py:98 WARNING the end date and start date of RNT100 was reversed, and it is fixed.
2019-04-17 22:52:27.129 charges_calc.py:98 WARNING the end date and start date of RNT101 was reversed, and it is fixed.
2019-04-17 22:52:27.129 charges_calc.py:98 WARNING the end date and start date of RNT102 was reversed, and it is fixed.
2019-04-17 22:52:27.130 charges_calc.py:98 WARNING the end date and start date of RNT103 was reversed, and it is fixed.
2019-04-17 22:52:27.130 charges_calc.py:98 WARNING the end date and start date of RNT104 was reversed, and it is fixed.
2019-04-17 22:52:27.130 charges_calc.py:98 WARNING the end date and start date of RNT105 was reversed, and it is fixed.
2019-04-17 22:52:27.130 charges_calc.py:98 WARNING the end date and start date of RNT106 was reversed, and it is fixed.
2019-04-17 22:52:27.131 charges_calc.py:98 WARNING the end date and start date of RNT107 was reversed, and it is fixed.
2019-04-17 22:52:27.131 charges_calc.py:98 WARNING the end date and start date of RNT109 was reversed, and it is fixed.
2019-04-17 22:52:27.132 charges_calc.py:98 WARNING the end date and start date of RNT114 was reversed, and it is fixed.
2019-04-17 22:52:27.132 charges_calc.py:98 WARNING the end date and start date of RNT115 was reversed, and it is fixed.
2019-04-17 22:52:27.132 charges_calc.py:98 WARNING the end date and start date of RNT116 was reversed, and it is fixed.
2019-04-17 22:52:27.133 charges_calc.py:98 WARNING the end date and start date of RNT118 was reversed, and it is fixed.
2019-04-17 22:52:27.133 charges_calc.py:98 WARNING the end date and start date of RNT119 was reversed, and it is fixed.
2019-04-17 22:52:27.133 charges_calc.py:98 WARNING the end date and start date of RNT120 was reversed, and it is fixed.
2019-04-17 22:52:27.133 charges_calc.py:98 WARNING the end date and start date of RNT121 was reversed, and it is fixed.
2019-04-17 22:52:27.134 charges_calc.py:98 WARNING the end date and start date of RNT122 was reversed, and it is fixed.
2019-04-17 22:52:27.134 charges_calc.py:98 WARNING the end date and start date of RNT123 was reversed, and it is fixed.
2019-04-17 22:52:27.135 charges_calc.py:98 WARNING the end date and start date of RNT125 was reversed, and it is fixed.
2019-04-17 22:52:27.135 charges_calc.py:98 WARNING the end date and start date of RNT129 was reversed, and it is fixed.
2019-04-17 22:52:27.135 charges_calc.py:98 WARNING the end date and start date of RNT130 was reversed, and it is fixed.
2019-04-17 22:52:27.136 charges_calc.py:98 WARNING the end date and start date of RNT135 was reversed, and it is fixed.
2019-04-17 22:52:27.136 charges_calc.py:98 WARNING the end date and start date of RNT139 was reversed, and it is fixed.
2019-04-17 22:52:27.137 charges_calc.py:98 WARNING the end date and start date of RNT141 was reversed, and it is fixed.
2019-04-17 22:52:27.137 charges_calc.py:98 WARNING the end date and start date of RNT142 was reversed, and it is fixed.
