         60499099 function calls (60496644 primitive calls) in 98.576 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  322/216    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   176181    0.220    0.000    0.241    0.000 <frozen importlib._bootstrap>:103(release)
    88170    0.039    0.000    0.039    0.000 <frozen importlib._bootstrap>:143(__init__)
    88170    0.077    0.000    0.899    0.000 <frozen importlib._bootstrap>:147(__enter__)
    88170    0.038    0.000    0.169    0.000 <frozen importlib._bootstrap>:151(__exit__)
   176181    0.427    0.000    1.110    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
   176158    0.170    0.000    0.236    0.000 <frozen importlib._bootstrap>:176(cb)
    88011    0.084    0.000    0.789    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   215/18    0.000    0.000    0.204    0.011 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1969    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      696    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  174/173    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
   176158    0.189    0.000    0.626    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
   175/18    0.001    0.000    0.208    0.012 <frozen importlib._bootstrap>:663(_load_unlocked)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
   176181    0.280    0.000    0.307    0.000 <frozen importlib._bootstrap>:78(acquire)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      180    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    88023    0.049    0.000    0.061    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
   182/18    0.001    0.000    0.215    0.012 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
88170/88005    0.634    0.000    3.001    0.000 <frozen importlib._bootstrap>:978(_find_and_load)
    88023    0.072    0.000    2.979    0.000 <frozen importlib._bootstrap>:994(_gcd_import)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       18    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      459    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      164    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
